task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
150	42/382213	82230	minimap_pipeline:minimap (S26_SQK-NBD114-24_barcode08)	COMPLETED	0	2024-12-22 19:17:22.546	31.1s	30.5s	219.1%	4 GB	6.9 GB	1.9 GB	379.6 MB
149	d1/dbd31d	80046	minimap_pipeline:minimap (m17_SQK-NBD114-24_barcode16)	COMPLETED	0	2024-12-22 19:17:13.628	45.7s	45.3s	206.3%	4.1 GB	7 GB	2.5 GB	975.2 MB
144	63/680c06	58408	minimap_pipeline:minimap (m29_SQK-NBD114-24_barcode07)	COMPLETED	0	2024-12-22 19:14:48.522	3m 35s	3m 35s	206.6%	7.5 GB	11.3 GB	9.5 GB	7.6 GB
151	e5/248760	87218	minimap_pipeline:minimap (m06_SQK-NBD114-24_barcode05)	COMPLETED	0	2024-12-22 19:17:53.628	34.9s	34.6s	206.1%	4 GB	6.9 GB	2 GB	526.7 MB
145	5a/e1580e	58820	minimap_pipeline:minimap (m33_SQK-NBD114-24_barcode11)	COMPLETED	0	2024-12-22 19:14:50.505	3m 45s	3m 45s	225.2%	7.4 GB	11.3 GB	9.3 GB	7.4 GB
153	a4/9f6596	92873	minimap_pipeline:minimap (m15_SQK-NBD114-24_barcode14)	COMPLETED	0	2024-12-22 19:18:23.881	30.1s	29.5s	209.1%	4 GB	6.8 GB	1.8 GB	302.1 MB
154	b4/a74f88	94006	minimap_pipeline:minimap (S32_SQK-NBD114-24_barcode10)	COMPLETED	0	2024-12-22 19:18:28.592	38s	37.6s	222.9%	4 GB	7 GB	2.2 GB	683.8 MB
156	9d/56e7eb	100220	minimap_pipeline:minimap (oy49_SQK-NBD114-24_barcode08)	COMPLETED	0	2024-12-22 19:18:54.000	22.5s	22.2s	214.8%	2.8 GB	5.9 GB	1.5 GB	61.9 MB
158	d0/639a8b	105231	minimap_pipeline:minimap (m14_SQK-NBD114-24_barcode13)	COMPLETED	0	2024-12-22 19:19:16.562	33.1s	32.9s	206.4%	4 GB	6.8 GB	1.9 GB	456.1 MB
148	92/31e7a1	78045	minimap_pipeline:minimap (oy50_SQK-NBD114-24_barcode09)	COMPLETED	0	2024-12-22 19:17:05.330	3m 2s	3m 1s	203.6%	7.6 GB	11.6 GB	9.4 GB	7.4 GB
157	53/862396	102788	minimap_pipeline:minimap (oy60_SQK-NBD114-24_barcode18)	COMPLETED	0	2024-12-22 19:19:06.566	1m 19s	1m 18s	200.3%	4.8 GB	9.8 GB	3.6 GB	2 GB
152	5e/3e37d4	88735	minimap_pipeline:minimap (oy55_SQK-NBD114-24_barcode14)	COMPLETED	0	2024-12-22 19:17:59.336	2m 28s	2m 28s	194.2%	6.4 GB	10.8 GB	7.4 GB	5.6 GB
161	dd/90acaf	116714	minimap_pipeline:minimap (S14_SQK-NBD114-24_barcode04)	COMPLETED	0	2024-12-22 19:20:25.665	49.4s	48.9s	211.7%	4.2 GB	9.5 GB	2.6 GB	1 GB
